Unnamed: 0,Date,op_type,op_id,coach,block,start_mile,end_mile,start_per,end_per,start_range,end_range,start_mpge,end_mpge,kwh,mpp,error,mpp_error,order,bus_run,percent_used,range_diff,miles_travelled,TAVG,TMAX,TMIN,tempdif,day_of_week,day,month,year,loc_id,time,tempC,tempF,windspeedMiles,winddirdegree,weatherCode,precipInches,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex
929,2020-08-10,xb,xb675,7502.0,7771,0.0,49.0,100.0,82.0,215.0,166.0,25.0,25.0,1.32,2.722222,0.0,0.0,1.0,1.0,18.0,0.0,49.0,77.0,84.0,69.0,15.0,Sunday,10.0,August,2020.0,1.0,1050.0,29.6,85.5,2.9,267.8,113.0,0.0,36.3,6.0,30.0,0.2,85.3,54.1,85.5,3.6,85.2,7.0
930,2020-08-10,reg,reg430,7502.0,7771,49.0,86.0,82.0,66.0,166.0,134.0,25.0,25.0,1.56,2.3125,0.0,0.0,2.0,2.0,16.0,5.0,37.0,77.0,84.0,69.0,15.0,Sunday,10.0,August,2020.0,1.0,1050.0,29.6,85.5,2.9,267.8,113.0,0.0,36.3,6.0,30.0,0.2,85.3,54.1,85.5,3.6,85.2,7.0
931,2020-08-10,reg,reg001,7502.0,7771,86.0,167.0,66.0,18.0,134.0,30.0,25.0,25.0,2.13,1.6875,0.0,0.0,3.0,3.0,48.0,-23.0,81.0,77.0,84.0,69.0,15.0,Sunday,10.0,August,2020.0,1.0,1050.0,29.6,85.5,2.9,267.8,113.0,0.0,36.3,6.0,30.0,0.2,85.3,54.1,85.5,3.6,85.2,7.0
934,2020-08-11,xb,xb995,7505.0,7771,0.0,49.0,100.0,82.0,207.0,160.0,24.4,24.4,1.32,2.722222,0.0,0.0,1.0,1.0,18.0,2.0,49.0,72.0,80.0,65.0,15.0,Monday,11.0,August,2020.0,1.0,1050.0,27.8,82.4,3.6,246.0,113.0,0.0,45.6,6.0,30.0,0.0,83.5,57.1,82.4,4.4,83.0,6.7
935,2020-08-11,reg,reg430,7505.0,7771,49.0,86.0,82.0,65.0,160.0,123.0,24.4,24.4,1.65,2.176471,0.0,0.0,2.0,2.0,17.0,0.0,37.0,72.0,80.0,65.0,15.0,Monday,11.0,August,2020.0,1.0,1050.0,27.8,82.4,3.6,246.0,113.0,0.0,45.6,6.0,30.0,0.0,83.5,57.1,82.4,4.4,83.0,6.7
936,2020-08-11,reg,reg001,7505.0,7771,86.0,166.0,65.0,21.0,123.0,35.0,24.4,24.4,1.98,1.818182,0.0,0.0,3.0,3.0,44.0,-8.0,80.0,72.0,80.0,65.0,15.0,Monday,11.0,August,2020.0,1.0,1050.0,27.8,82.4,3.6,246.0,113.0,0.0,45.6,6.0,30.0,0.0,83.5,57.1,82.4,4.4,83.0,6.7
937,2020-08-11,xb,xb680,7504.0,7072,0.0,65.0,100.0,71.0,207.0,140.0,24.6,24.6,1.61,2.241379,0.0,0.0,4.0,1.0,29.0,-2.0,65.0,72.0,80.0,65.0,15.0,Monday,11.0,August,2020.0,1.0,1050.0,27.8,82.4,3.6,246.0,113.0,0.0,45.6,6.0,30.0,0.0,83.5,57.1,82.4,4.4,83.0,6.7
938,2020-08-11,reg,reg563,7504.0,7072,65.0,151.0,71.0,26.0,140.0,46.0,24.6,24.6,1.88,1.911111,0.0,0.0,5.0,2.0,45.0,-8.0,86.0,72.0,80.0,65.0,15.0,Monday,11.0,August,2020.0,1.0,1050.0,27.8,82.4,3.6,246.0,113.0,0.0,45.6,6.0,30.0,0.0,83.5,57.1,82.4,4.4,83.0,6.7
939,2020-08-12,xb,xb420,7505.0,7771,0.0,49.0,100.0,79.0,204.0,152.0,24.4,24.4,1.54,2.333333,0.0,0.0,1.0,1.0,21.0,-3.0,49.0,77.0,87.0,67.0,20.0,Tuesday,12.0,August,2020.0,1.0,1050.0,28.7,83.8,3.0,269.6,113.0,0.0,42.2,6.0,30.0,0.0,83.9,56.0,83.8,3.7,83.8,6.7
940,2020-08-12,xb,xb894,7505.0,7771,49.0,86.0,79.0,59.0,152.0,112.0,24.4,24.4,1.95,1.85,0.0,0.0,2.0,2.0,20.0,-3.0,37.0,77.0,87.0,67.0,20.0,Tuesday,12.0,August,2020.0,1.0,1050.0,28.7,83.8,3.0,269.6,113.0,0.0,42.2,6.0,30.0,0.0,83.9,56.0,83.8,3.7,83.8,6.7
941,2020-08-12,reg,reg585,7505.0,7771,86.0,166.0,59.0,15.0,112.0,20.0,24.4,24.4,1.98,1.818182,0.0,0.0,3.0,3.0,44.0,-12.0,80.0,77.0,87.0,67.0,20.0,Tuesday,12.0,August,2020.0,1.0,1050.0,28.7,83.8,3.0,269.6,113.0,0.0,42.2,6.0,30.0,0.0,83.9,56.0,83.8,3.7,83.8,6.7
942,2020-08-12,reg,reg359,7504.0,7072,0.0,68.0,100.0,70.0,208.0,140.0,24.6,24.6,1.59,2.266667,0.0,0.0,4.0,1.0,30.0,0.0,68.0,77.0,87.0,67.0,20.0,Tuesday,12.0,August,2020.0,1.0,1050.0,28.7,83.8,3.0,269.6,113.0,0.0,42.2,6.0,30.0,0.0,83.9,56.0,83.8,3.7,83.8,6.7
943,2020-08-12,reg,reg563,7504.0,7072,68.0,151.0,70.0,24.0,140.0,46.0,24.6,24.6,2.0,1.804348,0.0,0.0,5.0,2.0,46.0,-11.0,83.0,77.0,87.0,67.0,20.0,Tuesday,12.0,August,2020.0,1.0,1050.0,28.7,83.8,3.0,269.6,113.0,0.0,42.2,6.0,30.0,0.0,83.9,56.0,83.8,3.7,83.8,6.7
944,2020-08-13,xb,xb813,7504.0,7771,0.0,49.0,100.0,80.0,207.0,159.0,24.6,24.6,1.47,2.45,0.0,0.0,1.0,1.0,20.0,1.0,49.0,83.0,93.0,76.0,17.0,Wednesday,13.0,August,2020.0,1.0,1050.0,29.1,84.6,2.5,268.5,113.0,0.0,33.3,6.0,30.0,0.0,83.7,50.6,84.6,2.8,83.6,6.8
945,2020-08-13,reg,reg894,7504.0,7771,49.0,87.0,80.0,62.0,159.0,121.0,24.6,24.6,1.71,2.111111,0.0,0.0,2.0,2.0,18.0,0.0,38.0,83.0,93.0,76.0,17.0,Wednesday,13.0,August,2020.0,1.0,1050.0,29.1,84.6,2.5,268.5,113.0,0.0,33.3,6.0,30.0,0.0,83.7,50.6,84.6,2.8,83.6,6.8
946,2020-08-13,reg,reg585,7504.0,7771,87.0,167.0,62.0,12.0,121.0,12.0,24.6,24.6,2.25,1.6,0.0,0.0,3.0,3.0,50.0,-29.0,80.0,83.0,93.0,76.0,17.0,Wednesday,13.0,August,2020.0,1.0,1050.0,29.1,84.6,2.5,268.5,113.0,0.0,33.3,6.0,30.0,0.0,83.7,50.6,84.6,2.8,83.6,6.8
947,2020-08-13,reg,reg359,7505.0,7072,0.0,66.0,100.0,70.0,204.0,136.0,24.4,24.4,1.64,2.2,0.0,0.0,4.0,1.0,30.0,-2.0,66.0,83.0,93.0,76.0,17.0,Wednesday,13.0,August,2020.0,1.0,1050.0,29.1,84.6,2.5,268.5,113.0,0.0,33.3,6.0,30.0,0.0,83.7,50.6,84.6,2.8,83.6,6.8
948,2020-08-13,xb,xb829,7505.0,7072,66.0,151.0,70.0,28.0,136.0,51.0,24.4,24.4,1.78,2.023809,0.0,0.0,5.0,2.0,42.0,0.0,85.0,83.0,93.0,76.0,17.0,Wednesday,13.0,August,2020.0,1.0,1050.0,29.1,84.6,2.5,268.5,113.0,0.0,33.3,6.0,30.0,0.0,83.7,50.6,84.6,2.8,83.6,6.8
949,2020-08-14,reg,reg420,7505.0,7771,0.0,49.0,100.0,81.0,210.0,160.0,24.4,24.4,1.4,2.578947,0.0,0.0,1.0,1.0,19.0,-1.0,49.0,87.0,98.0,77.0,21.0,Thursday,14.0,August,2020.0,1.0,1050.0,30.3,86.6,3.6,314.8,116.0,0.0,30.6,6.0,30.0,23.2,86.0,50.7,86.6,4.5,86.0,7.2
950,2020-08-14,reg,reg430,7505.0,7771,49.0,87.0,81.0,61.0,160.0,117.0,24.4,24.4,1.89,1.9,0.0,0.0,2.0,2.0,20.0,-5.0,38.0,87.0,98.0,77.0,21.0,Thursday,14.0,August,2020.0,1.0,1050.0,30.3,86.6,3.6,314.8,116.0,0.0,30.6,6.0,30.0,23.2,86.0,50.7,86.6,4.5,86.0,7.2
951,2020-08-14,reg,reg585,7505.0,7771,87.0,167.0,61.0,10.0,117.0,15.0,24.4,24.4,2.3,1.568627,0.0,0.0,3.0,3.0,51.0,-22.0,80.0,87.0,98.0,77.0,21.0,Thursday,14.0,August,2020.0,1.0,1050.0,30.3,86.6,3.6,314.8,116.0,0.0,30.6,6.0,30.0,23.2,86.0,50.7,86.6,4.5,86.0,7.2
954,2020-08-14,reg,reg259,7504.0,7072,0.0,66.0,100.0,64.0,205.0,126.0,24.6,24.4,1.96,1.833333,0.0,0.0,6.0,1.0,36.0,-13.0,66.0,87.0,98.0,77.0,21.0,Thursday,14.0,August,2020.0,1.0,1050.0,30.3,86.6,3.6,314.8,116.0,0.0,30.6,6.0,30.0,23.2,86.0,50.7,86.6,4.5,86.0,7.2
