date,price
10/24/2022,5.604
10/17/2022,5.94
10/10/2022,6.251
10/3/2022,6.315
09/26/2022,5.721
09/19/2022,5.34
09/12/2022,5.283
09/5/2022,5.154
08/29/2022,5.156
08/22/2022,5.242
08/15/2022,5.315
08/8/2022,5.391
08/1/2022,5.56
07/25/2022,5.661
07/18/2022,5.794
07/11/2022,5.994
07/4/2022,6.138
06/27/2022,6.23
06/20/2022,6.307
06/13/2022,6.364
06/6/2022,6.276
05/30/2022,6.087
05/23/2022,5.998
05/16/2022,5.891
05/9/2022,5.748
05/2/2022,5.629
04/25/2022,5.609
04/18/2022,5.641
04/11/2022,5.715
04/4/2022,5.804
03/28/2022,5.856
03/21/2022,5.802
03/14/2022,5.68
03/7/2022,5.283
02/28/2022,4.762
02/21/2022,4.662
02/14/2022,4.617
02/7/2022,4.598
01/31/2022,4.576
01/24/2022,4.574
01/17/2022,4.586
01/10/2022,4.592
01/3/2022,4.59
12/27/2021,4.575
12/20/2021,4.592
12/13/2021,4.602
12/6/2021,4.617
11/29/2021,4.642
11/22/2021,4.64
11/15/2021,4.619
11/8/2021,4.561
11/1/2021,4.529
10/25/2021,4.483
10/18/2021,4.429
10/11/2021,4.356
10/4/2021,4.33
09/27/2021,4.306
09/20/2021,4.305
09/13/2021,4.312
09/6/2021,4.315
08/30/2021,4.314
08/23/2021,4.316
08/16/2021,4.344
08/9/2021,4.321
08/2/2021,4.302
07/26/2021,4.262
07/19/2021,4.265
07/12/2021,4.253
07/5/2021,4.231
06/28/2021,4.217
06/21/2021,4.174
06/14/2021,4.172
06/7/2021,4.163
05/31/2021,4.142
05/24/2021,4.1
05/17/2021,4.068
05/10/2021,4.039
05/3/2021,3.993
04/26/2021,3.948
04/19/2021,3.924
04/12/2021,3.894
04/5/2021,3.876
03/29/2021,3.859
03/22/2021,3.848
03/15/2021,3.819
03/8/2021,3.725
03/1/2021,3.652
02/22/2021,3.54
02/15/2021,3.434
02/8/2021,3.403
02/1/2021,3.358
01/25/2021,3.329
01/18/2021,3.298
01/11/2021,3.233
