Date,op_type,op_id,coach,block,start_mile,end_mile,start_per,end_per,start_range,end_range,start_mpge,end_mpge,kwh,mpp,error,mpp_error,order,bus_run,percent_used,range_diff,miles_travelled,TAVG,TMAX,TMIN,tempdif,day_of_week,day,month,year,loc_id,time,isdaytime,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,0,no,15,59,6,9,162,SSE,113,Clear,0.0,0.0,76,10,6,1007,30,0,16,61,10,49,15,58,8,13,15,58,1
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,100,no,14,58,5,8,162,SSE,113,Clear,0.0,0.0,77,10,6,1007,30,0,15,59,10,49,14,57,7,12,14,57,1
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,200,no,14,57,4,7,163,SSE,113,Clear,0.0,0.0,77,10,6,1007,30,0,14,58,10,49,14,57,6,10,14,57,1
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,300,no,14,56,4,6,164,SSE,113,Clear,0.0,0.0,78,10,6,1008,30,0,14,56,10,49,13,56,5,9,13,56,1
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,400,no,15,58,3,4,188,S,113,Clear,0.0,0.0,74,10,6,1008,30,0,15,58,10,50,14,58,4,6,14,58,1
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,500,no,15,60,2,3,213,SSW,113,Clear,0.0,0.0,70,10,6,1008,30,0,15,60,10,50,15,59,3,4,15,59,1
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,600,no,16,61,1,1,237,WSW,113,Clear,0.0,0.0,67,10,6,1009,30,0,16,61,10,50,16,61,1,2,16,61,1
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,700,yes,18,65,1,2,275,W,113,Sunny,0.0,0.0,59,10,6,1009,30,0,18,65,10,50,18,65,2,3,18,65,5
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,800,yes,21,69,2,3,313,NW,113,Sunny,0.0,0.0,52,10,6,1010,30,0,20,69,10,50,21,69,2,4,21,69,6
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,900,yes,23,73,3,4,350,N,113,Sunny,0.0,0.0,44,10,6,1011,30,0,23,73,10,49,23,73,3,5,23,73,6
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,1000,yes,24,76,4,6,342,NNW,113,Sunny,0.0,0.0,38,10,6,1011,30,0,24,75,9,47,24,76,4,6,24,75,6
2020-06-29,xb,xb149,7505,9982,0.0,63.0,100.0,68.0,191.0,129.0,24.0,24.0,1.83,1.96875,0.0,0.0,1.0,1.0,32.0,1.0,63.0,67.0,75.0,59.0,16.0,Sunday,29,June,2020,1,1100,yes,26,79,5,7,333,NNW,113,Sunny,0.0,0.0,32,10,6,1011,30,0,25,77,8,46,26,79,5,8,25,77,7
