,coach,block,start_per,end_per,TAVG,TMAX,TMIN,tempdif,day_of_week,month,tempF,windspeedMiles,winddirdegree,weatherCode,precipInches,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex,block_mileage
0,7505.0,7774,100.0,34.0,58.0,65.0,49.0,16.0,0.0,4.0,70.1,3.8,246.3,114.5,0.0,61.4,6.0,31.0,26.0,73.5,56.2,70.1,4.7,72.0,5.4,105.9
1,7505.0,7774,100.0,35.0,49.0,55.0,45.0,10.0,1.0,4.0,61.4,10.2,316.1,113.0,0.0,49.5,6.0,31.0,3.4,61.4,41.6,61.0,11.6,61.0,4.4,105.9
2,7504.0,7773,100.0,58.0,49.0,55.0,45.0,10.0,1.0,4.0,61.4,10.2,316.1,113.0,0.0,49.5,6.0,31.0,3.4,61.4,41.6,61.0,11.6,61.0,4.4,167.3
3,7505.0,7774,100.0,37.0,53.0,61.0,45.0,16.0,2.0,4.0,64.2,8.7,335.7,113.0,0.0,37.8,6.0,31.0,3.5,64.2,36.9,63.9,10.2,63.9,4.9,105.9
4,7504.0,7772,100.0,58.0,53.0,61.0,45.0,16.0,2.0,4.0,64.2,8.7,335.7,113.0,0.0,37.8,6.0,31.0,3.5,64.2,36.9,63.9,10.2,63.9,4.9,145.9
5,7501.0,7772,100.0,75.0,53.0,61.0,45.0,16.0,2.0,4.0,64.2,8.7,335.7,113.0,0.0,37.8,6.0,31.0,3.5,64.2,36.9,63.9,10.2,63.9,4.9,145.9
6,7505.0,7774,100.0,26.0,49.0,54.0,44.0,10.0,3.0,4.0,62.4,7.9,306.9,113.0,0.0,49.3,6.0,31.0,15.8,62.4,42.6,62.4,9.2,62.4,4.6,105.9
7,7501.0,7772,100.0,28.0,49.0,54.0,44.0,10.0,3.0,4.0,62.4,7.9,306.9,113.0,0.0,49.3,6.0,31.0,15.8,62.4,42.6,62.4,9.2,62.4,4.6,145.9
8,7504.0,7773,100.0,59.0,49.0,54.0,44.0,10.0,3.0,4.0,62.4,7.9,306.9,113.0,0.0,49.3,6.0,31.0,15.8,62.4,42.6,62.4,9.2,62.4,4.6,167.3
9,7504.0,7772,100.0,37.0,53.0,63.0,41.0,22.0,4.0,4.0,64.9,7.7,329.4,113.0,0.0,47.2,6.0,30.0,2.0,67.1,43.4,64.8,8.9,64.8,5.0,145.9
10,7505.0,7774,100.0,31.0,53.0,63.0,41.0,22.0,4.0,4.0,64.9,7.7,329.4,113.0,0.0,47.2,6.0,30.0,2.0,67.1,43.4,64.8,8.9,64.8,5.0,105.9
11,7501.0,7773,100.0,53.0,53.0,63.0,41.0,22.0,4.0,4.0,64.9,7.7,329.4,113.0,0.0,47.2,6.0,30.0,2.0,67.1,43.4,64.8,8.9,64.8,5.0,167.3
12,7505.0,7772,100.0,42.0,49.0,58.0,44.0,14.0,0.0,4.0,60.7,3.7,260.4,116.6,0.0,42.4,6.0,30.0,46.2,60.7,37.3,60.8,4.5,60.8,4.2,145.9
13,7504.0,7774,100.0,32.0,49.0,58.0,44.0,14.0,0.0,4.0,60.7,3.7,260.4,116.6,0.0,42.4,6.0,30.0,46.2,60.7,37.3,60.8,4.5,60.8,4.2,105.9
14,7501.0,7773,100.0,54.0,49.0,58.0,44.0,14.0,0.0,4.0,60.7,3.7,260.4,116.6,0.0,42.4,6.0,30.0,46.2,60.7,37.3,60.8,4.5,60.8,4.2,167.3
15,7505.0,7772,100.0,35.0,49.0,56.0,44.0,12.0,1.0,4.0,61.8,7.0,307.0,113.0,0.0,53.2,6.0,30.9,2.5,61.8,44.0,61.8,8.0,61.8,4.4,145.9
16,7504.0,7774,100.0,37.0,49.0,56.0,44.0,12.0,1.0,4.0,61.8,7.0,307.0,113.0,0.0,53.2,6.0,30.9,2.5,61.8,44.0,61.8,8.0,61.8,4.4,105.9
17,7505.0,7772,100.0,41.0,58.0,67.0,49.0,18.0,2.0,4.0,71.6,3.1,247.5,113.0,0.0,47.0,6.0,31.0,0.6,73.1,49.3,71.6,3.3,72.6,5.5,145.9
18,7504.0,7774,100.0,42.0,58.0,67.0,49.0,18.0,2.0,4.0,71.6,3.1,247.5,113.0,0.0,47.0,6.0,31.0,0.6,73.1,49.3,71.6,3.3,72.6,5.5,105.9
19,7501.0,7773,100.0,51.0,58.0,67.0,49.0,18.0,2.0,4.0,71.6,3.1,247.5,113.0,0.0,47.0,6.0,31.0,0.6,73.1,49.3,71.6,3.3,72.6,5.5,167.3
20,7505.0,7772,100.0,40.0,65.0,75.0,57.0,18.0,3.0,4.0,80.0,2.3,142.8,113.0,0.0,39.2,6.0,31.0,2.2,79.0,51.7,80.0,2.9,79.1,6.5,145.9
21,7504.0,7774,100.0,30.0,65.0,75.0,57.0,18.0,3.0,4.0,80.0,2.3,142.8,113.0,0.0,39.2,6.0,31.0,2.2,79.0,51.7,80.0,2.9,79.1,6.5,105.9
22,7501.0,7773,100.0,47.0,65.0,75.0,57.0,18.0,3.0,4.0,80.0,2.3,142.8,113.0,0.0,39.2,6.0,31.0,2.2,79.0,51.7,80.0,2.9,79.1,6.5,167.3
23,7505.0,7772,100.0,47.0,63.0,73.0,47.0,26.0,4.0,4.0,74.6,2.8,198.9,113.9,0.0,47.7,6.0,30.0,24.0,75.5,53.0,74.6,3.3,75.4,5.9,145.9
24,7504.0,7774,100.0,30.0,63.0,73.0,47.0,26.0,4.0,4.0,74.6,2.8,198.9,113.9,0.0,47.7,6.0,30.0,24.0,75.5,53.0,74.6,3.3,75.4,5.9,105.9
25,7501.0,7773,100.0,53.0,63.0,73.0,47.0,26.0,4.0,4.0,74.6,2.8,198.9,113.9,0.0,47.7,6.0,30.0,24.0,75.5,53.0,74.6,3.3,75.4,5.9,167.3
