Date,op_type,op_id,coach,block,start_mile,end_mile,start_per,end_per,start_range,end_range,start_mpge,end_mpge,kwh,mpp,error,mpp_error,order,bus_run,percent_used,range_diff,miles_travelled,TAVG,TMAX,TMIN,tempdif,day_of_week,day,month,year
2020-08-10,reg,reg430,7502.0,7771,49.0,86.0,82.0,66.0,166.0,134.0,25.0,25.0,1.56,2.3125,0.0,0.0,2.0,2.0,16.0,5.0,37.0,77.0,84.0,69.0,15.0,0.0,10.0,8.0,2020.0
2020-08-11,reg,reg430,7505.0,7771,49.0,86.0,82.0,65.0,160.0,123.0,24.4,24.4,1.65,2.176471,0.0,0.0,2.0,2.0,17.0,0.0,37.0,72.0,80.0,65.0,15.0,1.0,11.0,8.0,2020.0
2020-08-11,reg,reg563,7504.0,7072,65.0,151.0,71.0,26.0,140.0,46.0,24.6,24.6,1.88,1.911111,0.0,0.0,5.0,2.0,45.0,-8.0,86.0,72.0,80.0,65.0,15.0,1.0,11.0,8.0,2020.0
2020-08-12,reg,reg585,7505.0,7771,86.0,166.0,59.0,15.0,112.0,20.0,24.4,24.4,1.98,1.818182,0.0,0.0,3.0,3.0,44.0,-12.0,80.0,77.0,87.0,67.0,20.0,2.0,12.0,8.0,2020.0
2020-08-12,reg,reg359,7504.0,7072,0.0,68.0,100.0,70.0,208.0,140.0,24.6,24.6,1.59,2.266667,0.0,0.0,4.0,1.0,30.0,0.0,68.0,77.0,87.0,67.0,20.0,2.0,12.0,8.0,2020.0
2020-08-12,reg,reg563,7504.0,7072,68.0,151.0,70.0,24.0,140.0,46.0,24.6,24.6,2.0,1.804348,0.0,0.0,5.0,2.0,46.0,-11.0,83.0,77.0,87.0,67.0,20.0,2.0,12.0,8.0,2020.0
2020-08-13,reg,reg585,7504.0,7771,87.0,167.0,62.0,12.0,121.0,12.0,24.6,24.6,2.25,1.6,0.0,0.0,3.0,3.0,50.0,-29.0,80.0,83.0,93.0,76.0,17.0,3.0,13.0,8.0,2020.0
2020-08-13,reg,reg359,7505.0,7072,0.0,66.0,100.0,70.0,204.0,136.0,24.4,24.4,1.64,2.2,0.0,0.0,4.0,1.0,30.0,-2.0,66.0,83.0,93.0,76.0,17.0,3.0,13.0,8.0,2020.0
2020-08-14,reg,reg420,7505.0,7771,0.0,49.0,100.0,81.0,210.0,160.0,24.4,24.4,1.4,2.578947,0.0,0.0,1.0,1.0,19.0,-1.0,49.0,87.0,98.0,77.0,21.0,4.0,14.0,8.0,2020.0
2020-08-14,reg,reg430,7505.0,7771,49.0,87.0,81.0,61.0,160.0,117.0,24.4,24.4,1.89,1.9,0.0,0.0,2.0,2.0,20.0,-5.0,38.0,87.0,98.0,77.0,21.0,4.0,14.0,8.0,2020.0
2020-08-14,reg,reg585,7505.0,7771,87.0,167.0,61.0,10.0,117.0,15.0,24.4,24.4,2.3,1.568627,0.0,0.0,3.0,3.0,51.0,-22.0,80.0,87.0,98.0,77.0,21.0,4.0,14.0,8.0,2020.0
2020-08-17,reg,reg420,7505.0,7771,0.0,48.0,100.0,83.0,204.0,165.0,24.4,24.4,1.28,2.823529,0.0,0.0,1.0,1.0,17.0,9.0,48.0,86.0,92.0,81.0,11.0,0.0,17.0,8.0,2020.0
2020-08-17,reg,reg430,7505.0,7771,48.0,86.0,83.0,64.0,165.0,125.0,24.4,24.4,1.8,2.0,0.0,0.0,2.0,2.0,19.0,-2.0,38.0,86.0,92.0,81.0,11.0,0.0,17.0,8.0,2020.0
2020-08-17,reg,reg585,7505.0,7771,86.0,166.0,64.0,20.0,125.0,45.0,24.4,24.4,1.98,1.818182,0.0,0.0,3.0,3.0,44.0,0.0,80.0,86.0,92.0,81.0,11.0,0.0,17.0,8.0,2020.0
2020-08-17,reg,reg563,7504.0,7072,70.0,155.0,62.0,12.0,119.0,26.0,24.2,24.2,2.12,1.7,0.0,0.0,7.0,2.0,50.0,-8.0,85.0,86.0,92.0,81.0,11.0,0.0,17.0,8.0,2020.0
2020-08-18,reg,reg420,7505.0,7771,0.0,48.0,100.0,80.0,204.0,157.0,24.4,24.4,1.5,2.4,0.0,0.0,1.0,1.0,20.0,1.0,48.0,88.0,96.0,82.0,14.0,1.0,18.0,8.0,2020.0
2020-08-18,reg,reg430,7505.0,7771,48.0,86.0,80.0,60.0,157.0,117.0,24.4,24.4,1.89,1.9,0.0,0.0,2.0,2.0,20.0,-2.0,38.0,88.0,96.0,82.0,14.0,1.0,18.0,8.0,2020.0
2020-08-18,reg,reg585,7505.0,7771,86.0,166.0,60.0,11.0,117.0,30.0,24.4,24.4,2.21,1.632653,0.0,0.0,3.0,3.0,49.0,-7.0,80.0,88.0,96.0,82.0,14.0,1.0,18.0,8.0,2020.0
2020-08-18,reg,reg563,7504.0,7072,66.0,150.0,65.0,5.0,126.0,10.0,24.0,24.0,2.57,1.4,0.0,0.0,5.0,2.0,60.0,-32.0,84.0,88.0,96.0,82.0,14.0,1.0,18.0,8.0,2020.0
2020-08-19,reg,reg420,7505.0,7771,0.0,48.0,100.0,81.0,204.0,162.0,24.4,24.4,1.43,2.526316,0.0,0.0,1.0,1.0,19.0,6.0,48.0,85.0,94.0,74.0,20.0,2.0,19.0,8.0,2020.0
