DateTime,coach,block,start_mile,end_mile,start_per,end_per,start_range,end_range,start_mpge,end_mpge,mpp,Odo
2019-04-10,coach_7505,block_7774,0,128,100,37,206,66,23.4,23,2.03,128
2019-04-11,coach_7505,block_7774,0,127,100,26,204,40,23,21.2,1.71,255
2019-04-12,coach_7505,block_7774,0,127.3,100,31,190,49,21.2,21,1.84,382.3
2019-04-19,coach_7505,block_7772,0,119,100,47,193,90,21.6,23.4,2.25,501.3
2019-04-23,coach_7505,block_7772,0,154.8,100,11,202,15,22.2,21.4,1.74,656.1
2019-04-24,coach_7505,block_7772,0,119,100,27,193,44,21.4,20.8,1.63,775.1
2019-04-29,coach_7505,block_7772,0,119,100,38,180,64,20.8,20.6,1.91,894.1
2019-04-30,coach_7505,block_7772,0,119,100,33,182,55,20.6,21.6,1.77,1013.1
2019-05-01,coach_7505,block_7772,0,119,100,35,182,57,20.6,20.8,1.83,1132.1
2019-05-02,coach_7505,block_7772,0,119,100,36,183,60,20.8,20.8,1.85,1251.1
2019-05-03,coach_7505,block_7772,0,119,100,31,183,51,20.8,20.8,1.72,1370.1
2019-05-09,coach_7505,block_7773,0,85,100,52,181,68,20.8,20.8,1.77,1455.1
2019-05-20,coach_7505,block_7774,0,129,99,26,176,39,20.6,20.6,1.74,1584.1
2019-05-22,coach_7505,block_7771,0,159,100,16,175,21,20.6,20.8,1.89,1743.1
2019-05-23,coach_7505,block_7774,0,127,100,31,181,51,20.8,20.8,1.84,1870.1
2019-05-24,coach_7505,block_7774,0,128,100,28,198,46,21.2,20.6,1.78,1998.1
2019-05-29,coach_7505,block_7773,0,84,98,50,197,92,22.8,22.2,1.75,2082.1
2019-05-30,coach_7505,block_7774,0,129,100,38,195,67,22.2,22.4,2.08,2211.1
2019-05-31,coach_7505,block_7774,0,129,100,29,198,49,22.4,22.2,1.82,2340.1
2019-06-13,coach_7505,block_7773,0,84,97,47,147,74,16.4,19.4,2.14,2424.1
2019-06-17,coach_7505,block_7774,0,127,100,30,166,47,19.2,20.2,1.98,2551.1
2019-06-18,coach_7505,block_7774,0,129,100,33,180,55,20.2,20.8,1.87,2680.1
2019-06-19,coach_7505,block_7774,0,129,100,37,184,64,20.8,21.4,1.76,2809.1
2019-06-20,coach_7505,block_7774,0,100,100,46,189,80,21.4,21.4,1.94,2909.1
2019-06-21,coach_7505,block_7774,0,129,100,37,189,65,21.4,21.8,1.76,3038.1
2019-06-24,coach_7505,block_7774,0,129,100,30,195,50,21.4,21.8,1.95,3167.1
2019-06-25,coach_7505,block_7774,0,129,100,19,195,25,21.6,18.4,2.26,3296.1
2019-06-26,coach_7505,block_7772,0,119,100,23,161,33,18.4,18.2,2.33,3415.1
2019-06-27,coach_7505,block_7774,0,129,100,29,165,42,18.2,19,1.98,3544.1
2019-06-28,coach_7505,block_7774,0,129,100,31,171,47,19,19.6,1.93,3673.1
2019-07-02,coach_7505,block_7771,0,73,100,51,192,89,21.2,20.8,1.49,3746.1
2019-07-02,coach_7505,block_7771,73,49,51,17,89,26,20.8,20.6,1.44,3795.1
2019-07-15,coach_7505,block_7771,0,114,100,43,189,82,20.8,21,2,3909.1
2019-07-15,coach_7505,block_7771,114,50,43,12,82,15,21,21,1.61,3959.1
2019-07-16,coach_7505,block_7772,0,52,100,81,189,150,21,21.2,2.74,4011.1
2019-07-16,coach_7505,block_7772,52,73,81,38,150,65,21.2,21.2,1.7,4084.1
2019-07-24,coach_7505,block_7771,0,51,100,70,154,103,17.4,19,1.7,4135.1
2019-07-24,coach_7505,block_7771,51,49,70,41,103,54,19,19,1.69,4184.1
2019-08-01,coach_7505,block_7771,0,110,100,49,180,80,20,20.6,2.16,4294.1
2019-08-01,coach_7505,block_7771,110,49,49,22,80,30,20.6,20.6,1.81,4343.1
2019-08-02,coach_7505,block_7772,0,50,100,81,185,147,20.6,20.8,2.63,4393.1
2019-08-02,coach_7505,block_7772,50,70,81,37,147,62,20.8,20.8,1.59,4463.1
2019-08-05,coach_7505,block_7771,0,110,100,46,200,90,22,22.2,2.04,4573.1
2019-08-15,coach_7505,block_7774,0,23,100,91,200,180,22,22,2.56,4596.1
2019-08-15,coach_7505,block_7774,23,52,91,52,180,101,22,21.6,1.33,4648.1
2019-08-15,coach_7505,block_7774,75,54,52,15,101,22,21.6,21.4,1.46,4702.1
2019-08-16,coach_7505,block_7773,0,85,100,45,193,77,21.4,21.2,1.55,4787.1
2019-08-19,coach_7505,block_7772,0,50,100,77,186,138,21.2,21.2,2.17,4837.1
2019-08-19,coach_7505,block_7772,50,69,77,25,138,36,21.2,20.8,1.33,4906.1
2019-08-20,coach_7505,block_7774,0,23,100,90,184,165,20.8,20.8,2.3,4929.1
