,DateTime,op_type,op_id,coach,block,start_mile,end_mile,start_per,end_per,start_range,end_range,start_mpge,end_mpge,mpp
0,2019-04-08,,,coach_7505,block_7774,0,126.8,100,34,203,62,23.4,23.4,
1,2019-04-09,,,coach_7505,block_7774,0,127,100,35,206,62,23.4,23.4,
3,2019-04-10,,,coach_7505,block_7774,0,128,100,37,206,66,23.4,23,2.03
6,2019-04-11,,,coach_7505,block_7774,0,127,100,26,204,40,23,21.2,1.71
10,2019-04-12,,,coach_7505,block_7774,0,127.3,100,31,190,49,21.2,21,1.84
12,2019-04-15,,,coach_7505,block_7772,0,119.3,100,42,183,71,21,21.4,
15,2019-04-16,,,coach_7505,block_7772,0,119.1,100,35,192,57,21.4,21.8,
17,2019-04-17,,,coach_7505,block_7772,0,120.1,100,41,183,75,20.4,22.6,
20,2019-04-18,,,coach_7505,block_7772,0,119,100,40,204,70,22.4,21.6,
23,2019-04-19,,,coach_7505,block_7772,0,119,100,47,193,90,21.6,23.4,2.25
26,2019-04-22,,,coach_7505,block_7772,0,92,100,47,205,87,22.8,22.2,
29,2019-04-23,,,coach_7505,block_7772,0,154.8,100,11,202,15,22.2,21.4,1.74
32,2019-04-24,,,coach_7505,block_7772,0,119,100,27,193,44,21.4,20.8,1.63
35,2019-04-29,,,coach_7505,block_7772,0,119,100,38,180,64,20.8,20.6,1.91
38,2019-04-30,,,coach_7505,block_7772,0,119,100,33,182,55,20.6,21.6,1.77
41,2019-05-01,,,coach_7505,block_7772,0,119,100,35,182,57,20.6,20.8,1.83
44,2019-05-02,,,coach_7505,block_7772,0,119,100,36,183,60,20.8,20.8,1.85
47,2019-05-03,,,coach_7505,block_7772,0,119,100,31,183,51,20.8,20.8,1.72
65,2019-05-09,,,coach_7505,block_7773,0,85,100,52,181,68,20.8,20.8,1.77
91,2019-05-20,,,coach_7505,block_7774,0,129,99,26,176,39,20.6,20.6,1.74
97,2019-05-22,,,coach_7505,block_7771,0,159,100,16,175,21,20.6,20.8,1.89
103,2019-05-23,,,coach_7505,block_7774,0,127,100,31,181,51,20.8,20.8,1.84
107,2019-05-24,,,coach_7505,block_7774,0,128,100,28,198,46,21.2,20.6,1.78
115,2019-05-29,,,coach_7505,block_7773,0,84,98,50,197,92,22.8,22.2,1.75
118,2019-05-30,,,coach_7505,block_7774,0,129,100,38,195,67,22.2,22.4,2.08
122,2019-05-31,,,coach_7505,block_7774,0,129,100,29,198,49,22.4,22.2,1.82
148,2019-06-13,,,coach_7505,block_7773,0,84,97,47,147,74,16.4,19.4,2.14
153,2019-06-17,,,coach_7505,block_7774,0,127,100,30,166,47,19.2,20.2,1.98
155,2019-06-18,,,coach_7505,block_7774,0,129,100,33,180,55,20.2,20.8,1.87
159,2019-06-19,,,coach_7505,block_7774,0,129,100,37,184,64,20.8,21.4,1.76
162,2019-06-20,,,coach_7505,block_7774,0,100,100,46,189,80,21.4,21.4,1.94
165,2019-06-21,,,coach_7505,block_7774,0,129,100,37,189,65,21.4,21.8,1.76
168,2019-06-24,,,coach_7505,block_7774,0,129,100,30,195,50,21.4,21.8,1.95
172,2019-06-25,,,coach_7505,block_7774,0,129,100,19,195,25,21.6,18.4,2.26
174,2019-06-26,,,coach_7505,block_7772,0,119,100,23,161,33,18.4,18.2,2.33
179,2019-06-27,,,coach_7505,block_7774,0,129,100,29,165,42,18.2,19,1.98
183,2019-06-28,,,coach_7505,block_7774,0,129,100,31,171,47,19,19.6,1.93
188,2019-07-01,com w/B,Opr_A,coach_7505,block_7774,0,75,100,63,188,113,21,21.2,
189,2019-07-01,,Opr_C,coach_7505,block_7774,75,54,63,35,113,56,21.2,21.2,
191,2019-07-02,XB,Opr_A,coach_7505,block_7771,0,73,100,51,192,89,21.2,20.8,1.49
192,2019-07-02,Reg,Opr_B,coach_7505,block_7771,73,49,51,17,89,26,20.8,20.6,1.44
263,2019-07-15,,Opr_A,coach_7505,block_7771,0,114,100,43,189,82,20.8,21,2.0
264,2019-07-15,,Opr_B,coach_7505,block_7771,114,50,43,12,82,15,21,21,1.61
278,2019-07-16,,Opr_A,coach_7505,block_7772,0,52,100,81,189,150,21,21.2,2.74
279,2019-07-16,,Opr_B,coach_7505,block_7772,52,73,81,38,150,65,21.2,21.2,1.7
308,2019-07-24,,Opr_A,coach_7505,block_7771,0,51,100,70,154,103,17.4,19,1.7
309,2019-07-24,,Opr_B,coach_7505,block_7771,51,49,70,41,103,54,19,19,1.69
336,2019-08-01,,Opr_A,coach_7505,block_7771,0,110,100,49,180,80,20,20.6,2.16
337,2019-08-01,,Opr_B,coach_7505,block_7771,110,49,49,22,80,30,20.6,20.6,1.81
345,2019-08-02,,Opr_A,coach_7505,block_7772,0,50,100,81,185,147,20.6,20.8,2.63
346,2019-08-02,,Opr_B,coach_7505,block_7772,50,70,81,37,147,62,20.8,20.8,1.59
352,2019-08-05,,Opr_A,coach_7505,block_7771,0,110,100,46,200,90,22,22.2,2.04
353,2019-08-05,,Opr_B,coach_7505,block_7771,,,,,,,,,
391,2019-08-15,REG,Opr_A,coach_7505,block_7774,0,23,100,91,200,180,22,22,2.56
392,2019-08-15,REG,Opr_B,coach_7505,block_7774,23,52,91,52,180,101,22,21.6,1.33
393,2019-08-15,REG,Opr_C,coach_7505,block_7774,75,54,52,15,101,22,21.6,21.4,1.46
399,2019-08-16,REG,Opr_A,coach_7505,block_7773,0,85,100,45,193,77,21.4,21.2,1.55
