date,op_type,op_id,coach,block,start_mile,end_mile,start_per,end_per,start_range,end_range,start_mpge,end_mpge,mpp
2019-04-08,,,coach_7505,block_7774,0,126.8,100,34,203,62,23.4,23.4,
2019-04-09,,,coach_7505,block_7774,0,127,100,35,206,62,23.4,23.4,
2019-04-09,,,coach_7504,block_7773,0,84,100,58,207,112,23.8,23.6,
2019-04-10,,,coach_7505,block_7774,0,128,100,37,206,66,23.4,23,2.03
2019-04-10,,,coach_7504,block_7772,0,81,100,58,208,127,23.6,23.6,1.92
2019-04-10,,,coach_7501,block_7772,0,55,100,75,248,160,27.4,25,2.2
2019-04-11,,,coach_7505,block_7774,0,127,100,26,204,40,23,21.2,1.71
2019-04-11,,,coach_7501,block_7772,0,118.9,100,28,224,42,21.8,19.2,1.65
2019-04-11,,,coach_7504,block_7773,0,106.6,100,59,205,111,23.2,23.2,
2019-04-12,,,coach_7504,block_7772,0,120.1,100,37,206,68,23.2,22.8,1.9
2019-04-12,,,coach_7505,block_7774,0,127.3,100,31,190,49,21.2,21,1.84
2019-04-12,,,coach_7501,block_7773,0,83.6,100,53,171,87,19.2,19.4,1.78
2019-04-15,,,coach_7505,block_7772,0,119.3,100,42,183,71,21,21.4,
2019-04-15,,,coach_7504,block_7774,0,127.1,100,32,195,55,22.8,22.6,
2019-04-15,,,coach_7501,block_7773,0,83.7,100,54,187,94,21.2,21,
2019-04-16,,,coach_7505,block_7772,0,119.1,100,35,192,57,21.4,21.8,
2019-04-16,,,coach_7504,block_7774,0,129,100,37,200,67,22.6,22.6,
2019-04-17,,,coach_7505,block_7772,0,120.1,100,41,183,75,20.4,22.6,
2019-04-17,,,coach_7504,block_7774,0,126.8,100,42,200,78,22.6,22.8,
2019-04-17,,,coach_7501,block_7773,0,83.6,100,51,187,88,21,20.6,
2019-04-18,,,coach_7505,block_7772,0,119,100,40,204,70,22.4,21.6,
2019-04-18,,,coach_7504,block_7774,0,127.1,100,30,206,55,22.8,22.6,
2019-04-18,,,coach_7501,block_7773,0,83.2,100,47,180,82,20.6,20.2,
2019-04-19,,,coach_7505,block_7772,0,119,100,47,193,90,21.6,23.4,2.25
2019-04-19,,,coach_7504,block_7774,0,128,100,30,205,52,22.6,22.4,1.83
2019-04-19,,,coach_7501,block_7773,0,83.6,100,53,175,90,20.2,20.2,1.78
2019-04-22,,,coach_7505,block_7772,0,92,100,47,205,87,22.8,22.2,
2019-04-22,,,coach_7504,block_7774,0,126.6,100,30,195,52,22.4,22.2,
2019-04-22,,,coach_7501,block_7773,0,91.1,100,49,191,87,21,20.8,
2019-04-23,,,coach_7505,block_7772,0,154.8,100,11,202,15,22.2,21.4,1.74
2019-04-23,,,coach_7504,block_7774,0,126.9,100,33,199,59,22.2,22.2,1.9
2019-04-23,,,coach_7501,block_7773,0,84.8,97,47,186,82,20.8,20.8,1.68
2019-04-24,,,coach_7505,block_7772,0,119,100,27,193,44,21.4,20.8,1.63
2019-04-24,,,coach_7504,block_7774,0,129,100,31,203,50,22.2,20.8,1.87
2019-04-24,,,coach_7501,block_7773,0,84,100,48,194,86,22.8,20.6,1.61
2019-04-29,,,coach_7505,block_7772,0,119,100,38,180,64,20.8,20.6,1.91
2019-04-29,,,coach_7504,block_7774,0,129,100,32,180,53,21,21.8,1.89
2019-04-29,,,coach_7501,block_7773,0,84,100,53,184,90,20.6,20.4,1.78
2019-04-30,,,coach_7505,block_7772,0,119,100,33,182,55,20.6,21.6,1.77
2019-04-30,,,coach_7504,block_7774,0,128,100,33,195,53,21.8,20.6,1.91
2019-04-30,,,coach_7501,block_7773,0,84,100,52,183,90,20.4,20.4,1.75
2019-05-01,,,coach_7505,block_7772,0,119,100,35,182,57,20.6,20.8,1.83
2019-05-01,,,coach_7501,block_7774,0,106,100,42,185,72,20.4,20.6,1.83
2019-05-01,,,coach_7503,block_7773,0,84,96,47,197,90,23,22.8,1.71
2019-05-02,,,coach_7505,block_7772,0,119,100,36,183,60,20.8,20.8,1.85
2019-05-02,,,coach_7503,block_7774,0,129,100,31,212,56,22.8,22.8,1.87
2019-05-02,,,coach_7504,block_7773,0,84,100,53,198,93,21.6,21.2,1.78
2019-05-03,,,coach_7505,block_7772,0,119,100,31,183,51,20.8,20.8,1.72
2019-05-03,,,coach_7503,block_7774,0,128,100,30,209,51,22.8,20.8,1.83
2019-05-03,,,coach_7501,block_7773,0,84,100,49,185,83,20.6,20.4,1.65
2019-05-06,,,coach_7501,block_7772,0,106.2,100,36,180,58,20.2,20.4,
2019-05-06,,,coach_7502,block_7771,0,157.2,100,13,198,17,22,21.4,
2019-05-06,,,coach_7503,block_7774,0,126.8,100,34,188,56,20.8,21.2,
2019-05-06,,,coach_7504,block_7773,0,84.3,98,52,181,90,21.2,21.2,
2019-05-07,,,coach_7502,block_7771,0,158.3,100,12,196,17,21.4,21.4,1.8
2019-05-07,,,coach_7501,block_7772,0,120.3,100,37,190,61,20.4,20.4,1.89
2019-05-07,,,coach_7504,block_7774,0,128,100,40,184,75,21.2,24.2,2.13
2019-05-07,,,coach_7503,block_7773,0,84,100,52,194,91,21.2,20.8,1.75
2019-05-08,,,coach_7503,block_7771,0,159,100,16,192,24,20.8,21,1.89
2019-05-08,,,coach_7502,block_7772,0,109,100,59,189,73,21.2,21.2,1.78
2019-05-08,,,coach_7504,block_7774,0,128,100,38,207,71,24,23.8,2.06
2019-05-08,,,coach_7501,block_7773,0,84,81,29,143,45,20.4,20.4,1.61
2019-05-09,,,coach_7503,block_7771,0,159,100,22,196,36,21,21.4,2.03
2019-05-09,,,coach_7501,block_7772,0,120,100,40,184,68,20.4,20.6,2
2019-05-09,,,coach_7504,block_7774,0,129,100,32,207,52,23.8,21.4,1.9
2019-05-09,,,coach_7505,block_7773,0,85,100,52,181,68,20.8,20.8,1.77
